air_date,category,round,x_pos,y_pos,value,weight,daily_double
2001-11-27,THE SANDBOX,1,3,4,800,1,1
2001-11-27,SEA CREATURES,2,5,1,400,0.3333333333333333,1
2001-11-27,SEA CREATURES,2,5,3,1200,0.3333333333333333,1
2001-11-27,SEA CREATURES,2,5,4,1600,0.3333333333333333,1
2001-11-28,YOU HIT ME IN THE FACE!,1,5,4,800,1,1
2001-11-28,FICTIONAL CHARACTERS,2,1,4,1600,1,1
2001-11-29,U.S. REGIONS,1,3,4,800,1,1
2001-11-29,CANADIAN HISTORY,2,1,4,1600,1,1
2001-12-03,"BILL SHAKESPEARE, P.I.",1,1,3,600,1,1
2001-12-06,BIRDS' SCIENTIFIC NAMES,1,1,4,800,0.5,1
2001-12-06,BIRDS' SCIENTIFIC NAMES,1,1,5,1000,0.5,1
2001-12-06,WWI,2,1,5,2000,1,1
2001-12-06,WORDS FOR WORDS,2,6,2,800,1,1
2001-12-07,STATE TREES,1,1,5,1000,1,1
2001-12-07,BOOKS OF THE BIBLE,2,1,5,2000,1,1
2001-12-07,PICK A NUMBER FROM 1-10,2,5,3,1200,1,1
2001-12-10,U.S. COMMEMORATIVE COINS,1,4,5,1000,1,1
2001-12-10,THE ANDREW JACKSON 5,2,3,5,2000,1,1
2001-12-12,JESTERDAY,1,3,3,600,1,1
2001-12-12,LANDLOCKED COUNTRIES,2,2,4,1600,0.5,1
2001-12-12,LANDLOCKED COUNTRIES,2,2,5,2000,0.5,1
2001-12-12,BRIT LIT,2,5,3,1200,1,1
2001-12-14,WHEN IN VENICE,1,1,3,600,0.5,1
2001-12-14,WHEN IN VENICE,1,1,4,800,0.5,1
2001-12-14,HISTORIC PEOPLE,2,1,2,800,0.5,1
2001-12-14,HISTORIC PEOPLE,2,1,4,1600,0.5,1
2001-12-14,MULTIPLY,2,6,3,1200,1,1
2001-12-20,"A ""C.D."" CATEGORY",1,6,2,400,0.5,1
2001-12-20,"A ""C.D."" CATEGORY",1,6,3,600,0.5,1
2001-12-20,SHAKESPEARE,2,2,3,1200,1,1
2001-12-25,O CANADA,1,4,4,800,1,1
2001-12-25,COMPUTERS,2,2,3,1200,0.5,1
2001-12-25,COMPUTERS,2,2,4,1600,0.5,1
2001-12-25,A GOOD READ,2,3,5,2000,1,1
2001-12-28,WOMEN IN HISTORY,1,1,4,800,0.5,1
2001-12-28,WOMEN IN HISTORY,1,1,5,1000,0.5,1
2001-12-28,DEAR DIARY,2,3,3,1200,1,1
2001-12-28,BODY BASICS,2,5,3,1200,1,1
2002-01-04,FREEDOM FIGHTERS,1,1,5,1000,1,1
2002-01-04,RHINE TIME,2,4,4,1600,1,1
2002-01-04,"YES, SIR!",2,5,3,1200,1,1
2002-01-09,STATE QUARTERS,1,3,4,800,1,1
2002-01-09,"DUKE, DUKE, DUKE, DUKE & EARL",2,3,1,400,0.5,1
2002-01-09,"DUKE, DUKE, DUKE, DUKE & EARL",2,3,5,2000,0.5,1
2002-01-09,GODS & GODDESSES,2,5,4,1600,1,1
2002-01-10,SAILOR TALK,1,2,4,800,1,1
2002-01-10,20th CENTURY AMERICAN ARTISTS,2,1,1,400,0.3333333333333333,1
2002-01-10,20th CENTURY AMERICAN ARTISTS,2,1,3,1200,0.3333333333333333,1
2002-01-10,20th CENTURY AMERICAN ARTISTS,2,1,5,2000,0.3333333333333333,1
2002-01-10,"SWEET HOME, ALABAMA",2,3,5,2000,1,1
2002-01-11,GOING TO THE DOGS,1,3,3,600,0.5,1
2002-01-11,GOING TO THE DOGS,1,3,5,1000,0.5,1
2002-01-11,EXPLORERS' LATER YEARS,2,1,2,800,1,1
2002-01-11,ISLANDS,2,5,3,1200,1,1
2002-01-14,GO WITH THE FLOW,1,5,3,600,1,1
2002-01-14,WHERE YA FROM?,2,2,4,1600,1,1
2002-01-14,PETER MARK ROGET,2,5,4,1600,1,1
2002-01-15,OSCAR ODDITIES,1,2,2,400,1,1
2002-01-15,"\""C"" SEA",2,5,5,2000,1,1
2002-01-16,ROYAL FLUSH,1,6,4,800,1,1
2002-01-16,RELIGION,2,3,3,1200,1,1
2002-01-16,CORRECTION!,2,4,5,2000,1,1
2002-01-17,THE ROLE PLAYED,1,2,4,800,1,1
